pop,Source,1,2,3,4,5,6,7,8,9,10,11,12,LP_1,LP_2,LP_3
LL,NA,NA,NA,NA,-0.005860447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,NA,0.039517027,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,-0.020117974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,0.018332879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,-0.005611575,-0.005611575,-0.005611575,-0.005611575,-0.005611575,-0.005611575,-0.005611575,-0.005611575,-0.005611575,NA,NA,NA
LL,NA,NA,NA,NA,-0.021666615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,-0.025970786,-0.025970786,-0.025970786,-0.025970786,-0.025970786,-0.025970786,-0.025970786,NA,NA,NA,NA
LL,NA,NA,NA,NA,0.018249862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,-0.000790333,-0.000790333,-0.000790333,-0.000790333,-0.000790333,-0.000790333,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,-0.016808345,-0.016808345,-0.016808345,-0.016808345,-0.016808345,-0.016808345,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,0.010493972,0.010493972,0.010493972,0.010493972,0.010493972,0.010493972,0.010493972,0.010493972,0.010493972,NA,NA,NA
LL,NA,NA,NA,NA,-0.010017933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,-0.003923982,-0.003923982,-0.003923982,-0.003923982,-0.003923982,-0.003923982,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,0.02399478,0.02399478,0.02399478,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,0.013559372,0.013559372,0.013559372,0.013559372,0.013559372,0.013559372,0.013559372,0.013559372,NA,NA,NA
LL,NA,NA,NA,NA,NA,NA,0.001105372,0.001105372,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02077987,0.02077987,0.02077987,NA,NA,NA
LL,NA,NA,NA,NA,NA,0.021038283,0.021038283,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,0.020528478,0.020528478,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,NA,-0.000233846,-0.000233846,-0.000233846,-0.000233846,-0.000233846,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,NA,NA,NA,-0.027853666,-0.027853666,-0.027853666,-0.027853666,-0.027853666,NA,NA,NA
LL,NA,NA,NA,NA,NA,-0.00456887,-0.00456887,-0.00456887,-0.00456887,-0.00456887,-0.00456887,-0.00456887,-0.00456887,NA,NA,NA
LL,NA,NA,NA,NA,NA,NA,NA,NA,0.004982955,0.004982955,0.004982955,0.004982955,0.004982955,NA,NA,NA
LL,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00215261,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,0.018367343,0.018367343,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,NA,0.01934119,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,NA,0.017228381,0.017228381,0.017228381,0.017228381,0.017228381,0.017228381,0.017228381,NA,NA,NA
LL,NA,NA,NA,NA,NA,-0.000826004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.016982932,-0.016982932,-0.016982932,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,NA,0.007448382,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,NA,NA,-0.035828469,-0.035828469,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,NA,NA,-0.007602446,-0.007602446,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,NA,0.014566875,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
